"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"1","business","Tencent leads $5.4 billion investment in Wanda Commercial","China's Tencent has led a $5.4-billion investment in the country's largest commercial property company Wanda Commercial. Tencent along with Suning Holdings, Sunac China Holdings, and JD.com, will acquire 14% stake in the company. Following the deal, Wanda Commercial will utilise the online resources owned by Tencent and other investors.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517297876705_572.jpg?resize=400px:*","https://www.bloomberg.com/news/articles/2018-01-29/tencent-leads-5-4-billion-investment-in-wanda-commercial?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"2","business","SRK's Alibag farmhouse attached by I-T Dept under benami law","The Income Tax Department has provisionally attached Shah Rukh Khan's farmhouse in Maharashtra's Alibag under benami laws, as per reports. The I-T investigation said the farmhouse, registered as Deja Vu Farms Private Limited, acted as benamidar for the ultimate benefit of the actor. Khan had allegedly applied for buying agricultural land for farming but constructed a farmhouse for personal use.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517325160327_150.jpg?resize=400px:*","https://www.newsbytesapp.com/timeline/India/15509/78169/srk-in-trouble-over-alibaug-farmhouse?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"3","business","Sunny Deol's 'tarikh par tarikh' quoted in Economic Survey ","The Economic Survey 2017-18 has quoted Bollywood actor Sunny Deol's dialogue 'tarikh par tarikh' to highlight frequent delays in the judicial process. It also featured a line from a Bollywood song, ""Mere desh ki dharti sona ugle, ugle heerey moti (My country's soil where crops grow like gold, diamonds, and pearls),"" to underline threats to agriculture due to climate change.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517237953468_450.jpg?resize=400px:*","https://www.indiatoday.in/pti-feed/story/bollywoods-famous-dialogues-find-place-in-economic-survey-1156483-2018-01-29?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"4","business","5 states account for 70% of India's exports: Economic Survey","The Economic Survey 2017-18 has revealed that five states– Tamil Nadu, Maharashtra, Gujarat, Karnataka, and Telangana, accounted for 70% of India's exports for the first time. The survey found that states' export performance and their standard of living were strongly interrelated. It also noted that India's internal trade in goods and services accounted for an estimated 60% of GDP.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517229794533_628.jpg?resize=400px:*","http://www.ibtimes.co.in/india-grow-fast-pace-economic-survey-2018-predicts-7-7-5-percent-gdp-growth-key-highlights-758617?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"5","business","Why do Finance Ministers carry a briefcase on Budget day?","The tradition of carrying a briefcase on Budget day was adopted from the British, who have been carrying 'Budget Box' since 1860. The word 'budget' is derived from the French word 'bougette', which means 'small bag'. In India, the tradition was established by first Finance Minister RK Shanmukham Chetty, who carried a briefcase for the first budget speech in 1947.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517235844809_311.jpg?resize=400px:*","http://www.timesnownews.com/business-economy/economy/article/indian-finance-ministers-briefcase-budget-box-colonial-era-rule/190738?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"6","business","What are the major highlights of Economic Survey 2017-18?","The Economic Survey 2017-18 drafted by Chief Economic Adviser Arvind Subramanian has predicted India's GDP growth at 7-7.5% in the next fiscal. The survey claimed that collection of direct taxes by Indian states and local governments is significantly lower compared to other countries. It also highlighted that Indian society shows a strong desire for a male child. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517238341735_287.jpg?resize=400px:*","https://www.hindustantimes.com/business-news/economic-survey-2018-live-arun-jaitley-to-table-survey-in-parliament-today/story-EGSAM6l5GZZ4ZxzIAQfWmN.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"7","business","Independent India's first Budget only covered 7.5 months","The first Budget of Independent India only covered seven and a half months from August 15, 1947, to March 31, 1948. It was presented by the first Finance Minister RK Shanmukham Chetty on November 26, 1947. It was the first Union Budget wherein it was decided that both India and Pakistan would share the same currency till September 1948.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517323790257_148.jpg?resize=400px:*","http://www.ibtimes.co.in/budget-2017-did-you-know-budget-was-presented-usually-5-pm-till-vajpayee-government-did-away-it-714257?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"8","business","Why was the 1973 Budget called the Black Budget?","India's Union Budget for 1973-74 was called the 'Black Budget' as the nation had a deficit of ₹550 crore. The Budget was presented on February 28, 1973, by then Finance Minister in the Congress government, Yashwantrao Chavan. Interestingly, the 1997 Budget presented by P Chidambaram was called the 'Dream Budget' owing to the reforms which helped broaden India's tax base.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517310643677_583.jpg?resize=400px:*","http://www.ibtimes.co.in/budget-2017-did-you-know-budget-was-presented-usually-5-pm-till-vajpayee-government-did-away-it-714257?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"9","business","How is the Union Budget kept secret before being presented?","The Budget is printed at the North Block's basement in Delhi, where over hundred officials are locked for over a week with no social interaction till the Finance Minister presents the Budget. A single phone is available on which the families of officials can leave messages. Electronic jammers are installed ensuring that no information is leaked using mobile phones.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517315120566_760.jpg?resize=400px:*","http://www.businesstoday.in/union-budget-2018-19/news/budget-2018-finance-minister-arun-jaitley-secret-blue-sheet-halwa/story/268403.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
"10","business","India's Union Budget was leaked in 1950","A certain portion of India's Union Budget was leaked in 1950 when the printing used to take place at the Rashtrapati Bhavan. Later, the venue was moved to a government press on Minto Road in Delhi after the leak. The North Block basement at the capital's Secretariat Building has become the permanent place for printing Budget papers since 1980.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517315828086_159.jpg?resize=400px:*","http://www.ibtimes.co.in/budget-2017-halwa-ceremony-secrecy-shrouding-indias-annual-financial-statement-710047?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","cklkri8s-1"
