"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"1","politics","Rahul gets front seat during Prez address post R-Day row","Congress President Rahul Gandhi was seated in the front row of the Central Hall in the Parliament during the President's address on Tuesday. This comes after Congress had criticised the government for giving the party President a seat in the sixth row for the Republic Day parade. Former Congress President Sonia Gandhi was seated in the first row.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517285776036_476.jpg?resize=400px:*","http://www.timesnownews.com/india/article/rahul-gandhi-congress-seating-arrangement-republic-day-front-row-seat-central-hall-parliament-president-ram-nath-kovind-budget-session-congress/193667?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"2","politics","AIADMK expels 117 members for bringing 'disrepute' to party ","Tamil Nadu CM Edappadi K Palaniswami and Deputy CM O Panneerselvam have expelled 117 AIADMK leaders for bringing 'disrepute' to the party. The expelled members belonged to the party's Sivaganga unit and its subunits. The party, which recently expelled 144 members, had earlier warned of action against those who go against it, reports said.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517244051221_609.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/aiadmk-expels-117-office-bearers-for-bringing-disrepute-to-party/story-Ws9sEMDH24E1V6J6aJ4DOL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"3","politics","BJP backs out from declaration to not contest Nagaland polls","The BJP has backed out from a joint declaration by eleven political parties to not contest the Nagaland Assembly elections until the Naga insurgency issue is resolved. The party suspended its representatives for signing the declaration, stating they had no authority to do so. The BJP said its central leadership will take a final decision on the matter. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517321050666_217.jpg?resize=400px:*","https://www.indiatoday.in/pti-feed/story/bjps-nagaland-unit-backs-out-of-declaration-to-boycott-polls-1157599-2018-01-30?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"4","politics","Govt announces five Outstanding Parliamentarian Awards","The Indian Parliamentary Group has announced five Outstanding Parliamentarian Awards on Monday. While BJD MP Bhartruhari Mahtab will be conferred the award for 2017, Manipur Governor Najma A Heptulla and Congress leader Ghulam Nabi Azad have been chosen for the award for 2013 and 2015 respectively. Established in 1995, the award has been conferred on 18 MPs so far.  ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517236354135_948.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/congress-leader-azad-among-five-mps-chosen-for-outstanding-parliamentarian-award/story-yGlBI3EprxyNl2SYey9wCM.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"5","politics","Withdraw FIR against Army or will topple govt: Swamy to J&K","After an FIR was filed against the Army over the killing of two Jammu and Kashmir civilians, BJP leader Subramanian Swamy warned that the state government would be toppled if it doesn't withdraw the complaint. ""Why are we even running that government?"" he questioned. The Army said it had opened fire at the mob in self-defence.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517323862290_261.jpg?resize=400px:*","https://twitter.com/ANI/status/958240411654422528?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"6","politics","Rajiv travelled around Delhi during anti-Sikh riots: Tytler","Congress leader Jagdish Tytler has revealed that then PM Rajiv Gandhi had taken him out in his car to assess the situation in Delhi during the 1984 anti-Sikh riots. Tytler said Gandhi was extremely upset and ordered the MPs to contain the situation in their constituencies. Around 3,000 people were killed in the riots after former PM Indira Gandhi's assassination. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/29jan/inshorts_image_1517233705719_689.jpg?resize=400px:*","https://www.thequint.com/news/india/rajiv-gandhi-recced-delhi-during-1984-anti-sikh-riots-says-jagdish-tytler?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"7","politics","Sonia continues to be UPA Chairperson: Veerappa Moily","Senior Congress leader Veerappa Moily on Tuesday said that Sonia Gandhi continues to serve as the Chairperson of the UPA, adding that she has the capability to pull the allies together. Sonia served as the Congress President for 19 years and was succeeded by her son Rahul in December. The Opposition is uniting to fight against the BJP, Moily added.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517334207327_498.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/sonia-continues-to-be-upa-chairperson-as-she-can-pull-allies-together-veerappa-moily/story-dJ07iwjDhvIKZxYfQHKQbP.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"8","politics","Rich MPs should give up their salaries: Varun Gandhi","BJP MP Varun Gandhi has written to Lok Sabha Speaker Sumitra Mahajan to initiate a movement for ""economically advantaged"" MPs to give up their salaries for the remaining 16th Lok Sabha. Gandhi said public representatives must be more responsive to the nation's growing economic inequality. An MP gets ₹50,000 as basic salary and ₹45,000 as constituency allowance, besides other allowances. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517152727225_226.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/amid-rising-economic-disparity-varun-gandhi-wants-rich-mps-to-forego-salaries/story-pOhs54KAET1tbf7Hx7IuVI.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"9","politics","High time to take back Hinduism from Hindutva: Tharoor","Speaking at the Jaipur Literature Festival, Congress MP Shashi Tharoor said, ""Hindutva is like Hindu wahhabism,"" adding that it was high time the ""better Hindus"" took back Hinduism. He further said earlier generations of Hindus believed in practising their faith in private, whereas now a space has been created where advertising Hindutva is the only way of being a Hindu. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517135476190_788.jpg?resize=400px:*","https://www.thequint.com/news/hot-news/take-back-hinduism-tharoor-nayantara-sahgal-speak-it-out-loud-at-jlf?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
"10","politics","Will do everything to get Triple Talaq bill passed: Govt","Ahead of the Budget Session, Parliamentary Affairs Minister Ananth Kumar on Sunday said the government will do everything possible to get the Triple Talaq bill passed in the Parliament. The bill, which seeks to criminalise the practise of instant Triple Talaq, was passed in the Lok Sabha during the winter session but got stalled in the Rajya Sabha. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/28jan/inshorts_image_1517148952595_430.jpg?resize=400px:*","https://www.hindustantimes.com/india-news/govt-says-will-do-everything-possible-to-get-triple-talaq-bill-passed-in-parliament-s-budget-session/story-pipFSKkkLzfTzQcoaAPgsJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","0bqs0vvp-1"
