"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"1","sports","14-year-old Navi Mumbai boy smashes 1,045 runs in a match","Tanishq Gavate, a 14-year-old Navi Mumbai student, has smashed an unbeaten 1,045(515) in the semi-final of Navi Mumbai Shield U-14 tournament, his coach has claimed. Gavate's innings, spread over two days, included 149 boundaries and 67 sixes. Gavate's coach said the match was played on a ground with a leg-side boundary of 60-65 yards and off-side boundary of 50 yards.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517333162949_199.jpg?resize=400px:*","https://www.hindustantimes.com/cricket/astounding-mumbai-boy-tanishq-gavate-hammers-1045-runs-in-school-game/story-w6Z2FCGPCc9twFkjfywmVK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"2","sports","Mahatma Gandhi founded 3 football clubs in South Africa","Mahatma Gandhi founded three football clubs, all named Passive Resisters Soccer Club, in the 1900s during his stay in South Africa. He would talk to teams at half-time about the principles of non-violent resistance and distribute pamphlets to spectators addressing the issue. Gandhi was assassinated 70 years ago, on January 30, 1948, by Nathuram Godse during a prayer meeting. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517301339369_938.jpg?resize=400px:*","http://www.ibtimes.co.uk/mahatma-gandhi-assassination-anniversary-10-facts-about-indian-independence-movement-leader-1485789?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"3","sports","Chhetri's birthday to be celebrated as Delhi's Football Day","Football Delhi has decided to celebrate current India football captain Sunil Chhetri's birthday on August 3 as Delhi's Football Day. ""Sunil's birthday would be a perfect day to celebrate the beauty of football in Delhi and we want more and more youth to take up football seriously and get inspired by the captain of Bengaluru FC,"" Football Delhi's statement read.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517298254182_743.jpg?resize=400px:*","http://www.india.com/news/agencies/chhetris-bday-to-be-celebrated-as-football-day-delhi-sa-2868377/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"4","sports","India U-19 vice-captain Shubman Gill like Lara: Ganguly","Former Indian captain Sourav Ganguly has said India U-19 vice-captain Shubman Gill is ""a bit like"" cricket legend Brian Lara and current New Zealand skipper Kane Williamson. He further said that Gill is the best player in India's U-19 team, which has reached the final of the ongoing U-19 World Cup. Gill has hit six consecutive 50+ scores for India.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517310789851_535.jpg?resize=400px:*","https://www.indiatoday.in/sports/cricket/video/shubman-gill-is-a-bit-like-brian-lara-and-kane-williamson-sourav-ganguly-1157234-2018-01-30?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"5","sports","India has entered final of all 3 ICC events in last 8 months","India has made it to the final of each of the three ICC tournaments in the last eight months. Indian men's team lost the Champions Trophy final against Pakistan in June 2017 before the Indian women's team lost the World Cup final against England in July. The Indian U-19 cricket team today defeated Pakistan by 203 runs to enter final.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517319922241_232.jpg?resize=400px:*","https://www.icc-cricket.com/news/605360?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"6","sports","CSK owner wanted to pick Sehwag instead of Dhoni in 2008","VB Chandrasekhar, CSK's former chief selector, has reportedly revealed that team owner N Srinivasan initially wanted to sign Virender Sehwag over MS Dhoni in 2008. Chandrasekhar said he told Srinivasan he wanted to sign Dhoni as ""he can change the match situation on his own"". Srinivasan then told Chandrasekhar he ""would rather have Sehwag,"" but agreed on Dhoni.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517326566742_123.jpg?resize=400px:*","http://www.timesnownews.com/sports/cricket/article/ms-dhoni-n-srinivasan-first-choice-chennai-super-kings-in-ipl-2008-report/193407?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"7","sports","India's top wicket-taker vs Pak in U19 WC went unsold at IPL","Nineteen-year-old fast bowler Ishan Porel, who was India's top wicket-taker in the Under-19 World Cup semi-final against Pakistan, had gone unsold at the IPL auction. Porel took Pakistan's first four wickets to help India win by 203 runs. Seven Indians playing in the U-19 World Cup were sold at the auction including captain Prithvi Shaw and vice-captain Shubman Gill.  ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517393292107_542.jpg?resize=400px:*","https://www.hindustantimes.com/cricket/ipl-opportunity-could-come-again-icc-u-19-cricket-world-cup-won-t-ishan-porel-s-father/story-OAV4JlzSSmaQnGZQ6rOVXK.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"8","sports","Pacer once took 7 wkts for just 1 run in 32 balls in a Test","Former West Indian fast bowler Curtly Ambrose dismissed seven Australian batsmen within a span of 32 balls, giving away just one run in a Test match on January 30, 1993. Ambrose's spell helped his team bowl out Australia for 119 in the first innings, after being 85 for 2 at one point. Ambrose ended with first-innings figures of 18-9-25-7.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517322992501_264.jpg?resize=400px:*","https://www.youtube.com/watch?v=a5G4pqb4nns&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"9","sports","Cheerleaders dance to 'Ghoomar' from Padmaavat at NBA match","A video showing cheerleaders dancing to the song 'Ghoomar' from 'Padmaavat' has been shared online. The cheerleaders performed to the song during an NBA match between Charlotte Hornets and Miami Heat. ""Revisit the mesmerising moment when the sights and sounds of Ghoomar from Padmaavat took over Charlotte!"" wrote the Facebook page of NBA while sharing the video.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/31jan/inshorts_image_1517379149488_408.jpg?resize=400px:*","https://www.youtube.com/watch?v=GSrsnr3gz5Q&t=27s&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"10","sports","LPG delivery man's son bought by KKR for ₹80 lakh","Rinku Singh, an LPG delivery man's son from Aligarh, was bought by IPL side Kolkata Knight Riders for ₹80 lakh, four times his base price at the auction on Sunday. In the last IPL auction, he was bought at his then base price of ₹10 lakh by Kings XI Punjab. Rinku's eight-member family lives in a tin-roofed home.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517319112942_552.jpg?resize=400px:*","https://www.hindustantimes.com/cricket/ipl-auction-2018-aligarh-rejoices-rinku-singh-s-big-break-with-kolkata-knight-riders/story-bEcooxap64lV5f9Qfx8ALJ.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"11","sports","Pitch for third India-South Africa Test rated 'poor' by ICC","The pitch used for the India-South Africa Test at the Wanderers Stadium in Johannesburg has been rated 'poor' by the ICC as it had ""excessively steep and unpredictable bounce"". Further, the stadium has received three demerit points and if it reaches five demerit points in a five-year period, it will be suspended from staging international cricket for a year. ","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517314194673_731.jpg?resize=400px:*","https://www.icc-cricket.com/media-releases/605572?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"12","sports","AB de Villiers ruled out of first 3 ODIs against India","South African batsman AB de Villiers has been ruled out of the first three matches of the upcoming five-match ODI series against India. De Villiers, who sustained an injury to his right index finger during the third Test against India, is expected to be fit for the fourth match. South Africa's selectors have opted not to name a replacement.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517321162862_427.jpg?resize=400px:*","https://twitter.com/ANI/status/958337888902524929?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"13","sports","Kohli only player to remain with same IPL team for 11 years","Royal Challengers Bangalore captain Virat Kohli is the only player to be associated with the same franchise for 11 years. Harbhajan, who represented Mumbai Indians for 10 years, was bought by Chennai Super Kings in the 2018 IPL auction, making Kohli the only player to be with one franchise throughout. Kohli was retained by RCB before the auction.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517315131065_289.jpg?resize=400px:*","https://www.royalchallengers.com/news/official-statement-skipper-virat-kohli-ab-de-villiers-and-sarfaraz-khan-retained-vivo-ipl-2018?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"14","sports","Agarkar, Dilshan to play ice cricket with Sehwag, Akhtar","Former Indian pacer Ajit Agarkar and Sri Lanka captain Tillakaratne Dilshan will feature alongside Virender Sehwag and Shoaib Akhtar in two T20 matches to be played on a frozen lake in St Moritz, Switzerland. The matches will take place on February 8 and 9. Former players Lasith Malinga, Mohammad Kaif, Michael Hussey and Graeme Smith had confirmed their participation earlier.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517329235984_756.jpg?resize=400px:*","https://www.hindustantimes.com/cricket/tillakaratne-dilshan-ajit-agarkar-among-new-joinees-in-st-moritz-ice-cricket/story-ixcOCbb3kaCC5aLUWZXyIM.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"15","sports","Unsold at IPL auction, Pujara to play county for Yorkshire","Indian batsman Cheteshwar Pujara will play for county side Yorkshire in the 2018 English domestic cricket season. According to Yorkshire, the 30-year-old had signed the deal several weeks ago but the announcement was purposely delayed due to the IPL auction, where he went unsold. This will be Pujara's second stint with Yorkshire.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517316888473_832.jpg?resize=400px:*","https://www.hindustantimes.com/cricket/cheteshwar-pujara-to-play-in-english-county-for-yorkshire-in-2018-season/story-cugevAvD4c9r1Obv5exwyL.html?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"16","sports","PCB chairman slammed for calling India 'old enemy'","After PCB chairman Najam Sethi called India an 'old enemy' following Pakistan's defeat against India in the U-19 World Cup semi-final, a user tweeted, ""The use of the word enemy betrays the wonderful sportsman spirit in which the match was played."" ""Old enemy...shows harshness frustration bereft of warmth to relate neighbours as enemies in everything even sports,"" another tweet read.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517309098381_643.jpg?resize=400px:*","http://www.ibtimes.co.in/pcb-chairman-trolled-after-pakistans-u-19-world-cup-semis-loss-old-enemy-india-758782?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"17","sports","Moment of match, tweets user on Pak player tying Indian's laces","Reacting to a Pakistani player tying shoelaces of Indian vice-captain Shubman Gill in the semi-final of U-19 World Cup on Tuesday, a user wrote, ""Divided by boundaries, united by cricket."" Another user wrote, ""They are rivals, not enemies. Moment of the match."" ""These moments have won many hearts...we expect these type of moments in every #INDvsPAK match,"" a tweet read.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517321243719_654.jpg?resize=400px:*","http://www.timesnownews.com/sports/article/icc-u19-world-cup-twitter-hails-sportsman-spirit-of-players-in-india-pakistan-semi-final/193932?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
"18","sports","Fatwa issued against women watching men play football","A Lucknow cleric issued a fatwa saying that Muslim women should not watch men play football. Senior Darul Uloom cleric Mufti Athar Kasmi claimed that watching men ""playing with bare knees"" violated the tenets of Islam. ""Do you have no shame? Do you not fear God,"" he added, slamming men who allow their wives to watch football even on television.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/30jan/inshorts_image_1517318877587_302.jpg?resize=400px:*","http://www.timesnownews.com/india/article/islam-india-darul-uloom-deoband-deoband-lucknow-uttar-pradesh-football-fatwa-soccer/193889?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","mzjuxap9-2"
