"ind","catg","headline","body","imageurl","readmoreurl","inblockId"
"1","miscellaneous","Protect your family and save tax too with Max Life Insurance","Paying heavy income taxes each year is a painful activity for everyone. Max Life Insurance Term Plan reduces the policyholders' tax liability and also protects from 40 critical illnesses. In this plan, one can save up to ₹46,350 under section 80C and up to ₹30,000 under 80 D as per existing tax laws.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/22jan/inshorts_image_1516630314966_272.jpg?resize=400px:*","https://ad.doubleclick.net/ddm/trackclk/N410202.2493507INSHORTS/B20682186.213354033;dc_trk_aid=412508143;dc_trk_cid=97333997;dc_lat=;dc_rdid=;tag_for_child_directed_treatment= ","btzsaasq-1"
"2","miscellaneous","'The Myntra Right To Fashion Sale' to be held on 25 & 26 Jan","The biggest online fashion shopping store Myntra is back again with 'Right to Fashion Sale' to celebrate India's Republic Day. They are all set to offer 50% to 80% discount on fashion products. This offer will run from 25th Jan to 26th Jan 2018 on the Myntra App & Web both. Get shopping now!","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516797181807_206.jpg?resize=400px:*","https://ad.doubleclick.net/ddm/trackclk/N1405.2493507INSHORTS/B20676359.213451670;dc_trk_aid=412622906;dc_trk_cid=97429757;dc_lat=;dc_rdid=;tag_for_child_directed_treatment= ","btzsaasq-1"
"3","miscellaneous","Students preparing for exams in Kota get 'emotional nutrition'","In an effort for students in Kota to study in a stress-free environment, an initiative has been launched to bring 'emotional nutrition' for them to face exams fearlessly. The initiative was taken in the backdrop of the stressful environment and the rising cases of suicide in Kota. As part of the initiative, moms were taken to meet their children to comfort them with love.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/22jan/inshorts_image_1516612475433_555.jpg?resize=400px:*","https://www.youtube.com/watch?v=0azhsVWu8uo&t=10s ","btzsaasq-1"
"4","miscellaneous","This video shares the story of Appu’s special family photo","Every family photo has a story, and Axis Bank's new video captures the special one behind little Appu's family photo. Axis Bank Foundation (ABF) has created more than a million livelihoods in villages across India, enabling people like Appu's father who had left their homes for work, to return to their families.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516779750620_549.jpg?resize=400px:*","https://www.youtube.com/watch?v=0L6VMhfu98o&t=4s ","btzsaasq-1"
"5","miscellaneous","India comes together with Sabse Saste 5 Din – 24th to 28th Jan","Big Bazaar Sabse Saste 5 din celebrates it's 12th edition of the biggest shopping event witnessed by India & this time it's bigger than ever. This event was featured among the top 50 things that have defined India by Economic Times. At the launch of this year's event, know the backstory on how it all started & how consumers reacted.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/15jan/inshorts_image_1516023350504_316.jpg?resize=400px:*","http://bs.serving-sys.com/serving/adServer.bs?cn=trd&mc=click&pli=23770866&PluID=0&ord=[timestamp] ","btzsaasq-1"
"6","miscellaneous","Fastrack brings Faketionary for the world to 'Shut The Fake Up'","After launching the new Shut The Fake Up campaign, which urges everyone to be real, Fastrack has now launched the Faketionary. With words like Hashho - the compulsive hashtag-user, the Faketionary takes a dig at fake stereotypes we see everywhere. It also allows you to tag your friends and add to the dictionary - in case they've missed out someone.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/17jan/inshorts_image_1516189702237_560.jpg?resize=400px:*","https://www.youtube.com/watch?v=DdhS8EDUTfo&feature=youtu.be ","btzsaasq-1"
"7","miscellaneous","Sunfeast Farmlite Protein Power—Protein with taste of Besan Ladoo","Sunfeast Farmlite Active Protein Power is made from Sattu or roasted Bengal Gram. Sattu is considered to be a superfood for its high protein content which helps in fighting fatigue. Bringing traditional health recipes to the fore in a tasty form, these biscuits help fuel your day with sustained energy. It has a distinct taste of Besan ka Ladoo with a tinge of cardamom.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/24jan/inshorts_image_1516811079261_565.jpg?resize=400px:*","https://ad.doubleclick.net/ddm/trackclk/N826507.2493507INSHORTS/B20683817.213533351;dc_trk_aid=412697467;dc_trk_cid=97363777;dc_lat=;dc_rdid=;tag_for_child_directed_treatment= ","btzsaasq-1"
"8","miscellaneous","Doomsday Clock set to 2 mins to midnight, closest since 1953","The Doomsday Clock, symbolising how close the planet is to an apocalypse, was set at 2 minutes to midnight, the closest since 1953 during the Cold War. The Clock was moved 30 seconds forward compared to 2017, citing growing nuclear risks and climate dangers. The Clock is maintained since 1947 by scientists worldwide including 15 Nobel Laureates.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/26jan/inshorts_image_1516952631801_796.jpg?resize=400px:*","https://thebulletin.org/press-release/it-now-2-minutes-midnight11464?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","btzsaasq-1"
"9","miscellaneous","RPG Group is hiring in the most unconventional way","RPG Group just launched a microsite that gives B-Schools students the opportunity to interview with them for a job directly through their phones or desktop. An unconventional way to find new recruits. All they need to do is record a video about themselves and the most impressive entries get a chance to work with the Group. Here's the link: campus.rpggroup.com","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/25jan/inshorts_image_1516882034667_221.jpg?resize=400px:*","https://youtu.be/VW7-1mczSNM ","btzsaasq-1"
"10","miscellaneous","Video: Astronaut flies vacuum cleaner in space","Russian astronaut Anton Shkaplerov on Saturday shared a video of him flying a vacuum cleaner aboard the International Space Station (ISS). Attempting the act for the first time, Shkaplerov said he was often asked by people if one could fly vacuum cleaners in space. The astronaut is currently on his third mission to the ISS.","http://images.newsinshorts.com.edgesuite.net/app_assets/images/2018/22jan/inshorts_image_1516619284560_580.jpg?resize=400px:*","https://www.youtube.com/watch?v=yMsyG-77_QU&utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle ","btzsaasq-1"
